data_path,case_name
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_419,BRATS_419
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_182,BRATS_182
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_447,BRATS_447
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_298,BRATS_298
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_149,BRATS_149
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_381,BRATS_381
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_387,BRATS_387
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_480,BRATS_480
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_228,BRATS_228
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_010,BRATS_010
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_176,BRATS_176
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_479,BRATS_479
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_212,BRATS_212
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_428,BRATS_428
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_085,BRATS_085
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_031,BRATS_031
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_239,BRATS_239
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_091,BRATS_091
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_282,BRATS_282
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_464,BRATS_464
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_034,BRATS_034
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_154,BRATS_154
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_476,BRATS_476
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_470,BRATS_470
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_078,BRATS_078
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_071,BRATS_071
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_074,BRATS_074
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_462,BRATS_462
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_439,BRATS_439
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_079,BRATS_079
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_012,BRATS_012
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_105,BRATS_105
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_118,BRATS_118
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_361,BRATS_361
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_391,BRATS_391
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_132,BRATS_132
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_223,BRATS_223
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_056,BRATS_056
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_019,BRATS_019
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_064,BRATS_064
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_069,BRATS_069
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_125,BRATS_125
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_399,BRATS_399
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_432,BRATS_432
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_210,BRATS_210
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_262,BRATS_262
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_342,BRATS_342
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_194,BRATS_194
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_308,BRATS_308
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_181,BRATS_181
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_269,BRATS_269
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_087,BRATS_087
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_094,BRATS_094
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_138,BRATS_138
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_083,BRATS_083
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_468,BRATS_468
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_469,BRATS_469
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_267,BRATS_267
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_077,BRATS_077
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_400,BRATS_400
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_313,BRATS_313
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_080,BRATS_080
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_363,BRATS_363
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_196,BRATS_196
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_177,BRATS_177
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_334,BRATS_334
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_193,BRATS_193
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_337,BRATS_337
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_076,BRATS_076
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_426,BRATS_426
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_016,BRATS_016
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_378,BRATS_378
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_453,BRATS_453
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_323,BRATS_323
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_219,BRATS_219
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_394,BRATS_394
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_322,BRATS_322
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_335,BRATS_335
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_127,BRATS_127
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_413,BRATS_413
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_026,BRATS_026
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_397,BRATS_397
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_232,BRATS_232
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_043,BRATS_043
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_415,BRATS_415
../../../data/brats2017_seg/BraTS2017_Training_Data/BRATS_326,BRATS_326
